id,lon,lat
165,116.3946502,39.992231
166,116.3946781,39.991793
167,116.3946848,39.9916871
168,116.3947088,39.9913102
169,116.3945865,39.9903954
170,116.3944054,39.9933482
171,116.397173,39.9920935
172,116.3972613,39.9922158
173,116.3972173,39.9928434
174,116.3976545,39.9920324
175,116.3980665,39.9919535
176,116.3984098,39.9918022
177,116.3988733,39.9914866
178,116.3949978,39.9920247
179,116.3991379,39.9908431
180,116.3991651,39.9908356
181,116.3991394,39.9895401
182,116.3990192,39.9892245
183,116.398899,39.9890272
184,116.3987188,39.9888957
185,116.3983755,39.9887576
186,116.3978777,39.9887181
187,116.394698,39.9885124
188,116.3940399,39.9884919
189,116.3935358,39.9884761
190,116.3931743,39.9884714
191,116.3931337,39.9884709
192,116.392523,39.9884445
193,116.3971886,39.9932535
194,116.3974964,39.9932596
195,116.3972082,39.9886984
196,116.4040694,39.9870136
197,116.4289147,39.9877395
198,116.4416847,39.9840231
199,116.4421056,39.983775
200,116.4581358,39.9732944
201,116.4832531,39.9534269
202,116.4827188,39.9547533
203,116.4823919,39.955379
204,116.4820733,39.955959
205,116.4816366,39.956622
206,116.4813134,39.9570747
207,116.4804559,39.9581211
208,116.4803052,39.9582868
209,116.4794407,39.9591285
210,116.4784543,39.9599357
211,116.477566,39.9606584
212,116.4836719,39.9516501
213,116.483532,39.9524394
214,116.4839581,39.940583
215,116.4839496,39.9436808
216,116.4839489,39.9439169
217,116.2686859,39.919551
218,116.2687859,39.9191434
219,116.2688014,39.918726
220,116.2682644,39.9206764
221,116.4053914,39.9476591
222,116.4053672,39.9477768
223,116.4020434,39.9477159
224,116.3993123,39.9477091
225,116.4262973,39.9476782
226,116.4267835,39.9473076
227,116.4270524,39.9469499
228,116.4206977,39.9071039
229,116.434823,39.9072277
230,116.4331475,39.9072171
231,116.4306492,39.9072304
232,116.4441203,39.9071643
233,116.4005425,39.9116148
234,116.4047536,39.9171376
235,116.4048948,39.9173561
236,116.3955127,39.9137358
237,116.3967258,39.913772
238,116.3967626,39.91317
239,116.3967921,39.9121374
240,116.4004361,39.9138882
241,116.4116106,39.9141866
242,116.4107268,39.9141585
243,116.4086964,39.9141443
244,116.4118558,39.9141264
245,116.4128104,39.9141279
246,116.4130346,39.9141331
247,116.4132098,39.9141763
248,116.4116659,39.913451
249,116.4116652,39.9130902
250,116.4203698,39.9141931
251,116.4113816,39.9173925
252,116.41139,39.9177005
253,116.4114091,39.918401
254,116.4114088,39.9188647
255,116.4114025,39.9191171
256,116.4113789,39.9197516
257,116.4113749,39.9198482
258,116.4113262,39.9204728
259,116.411329,39.9205018
260,116.4113099,39.9211401
261,116.4113047,39.9216711
262,116.4104908,39.9173611
263,116.4104738,39.9173605
264,116.4478707,39.955964
265,116.4483214,39.9563736
266,116.4487223,39.9560376
267,116.4487829,39.9558419
268,116.4487959,39.9558
269,116.448823,39.9556765
270,116.4487821,39.9555279
271,116.4486894,39.9554155
272,116.4485462,39.9553376
273,116.4483314,39.9553044
274,116.448117,39.9553218
275,116.4479042,39.9554376
276,116.4478098,39.9556613
277,116.4478162,39.9558118
278,116.4491277,39.9557693
279,116.4487511,39.9567641
280,116.449035,39.9568745
281,116.4492276,39.9569013
282,116.4494323,39.9568672
283,116.4496141,39.956761
284,116.4497008,39.9566512
285,116.4497249,39.9564998
286,116.4496575,39.9563106
