traj_id,dis1,time_period_x,time_period_y,time_period_mid,dis1_res,dis2_res
409,3.703000645966184,9,9,9.0,0.19976516057127844,0.375
410,5.569002932026249,10,10,10.0,0.3004300758494395,0.4166666666666667
411,6.4518418668911055,18,18,18.0,0.3480564411793971,0.75
413,3.7760632382098818,20,20,20.0,0.2037066560952437,0.8333333333333334
414,9.138379160482655,20,21,20.5,0.4929866221718485,0.8541666666666666
415,2.2727946269233628,22,22,22.0,0.12261007409962807,0.9166666666666666
416,4.650166742076853,23,23,23.0,0.2508617725806047,0.9583333333333334
418,3.761390525806528,6,8,7.0,0.20291510971718266,0.2916666666666667
420,4.119003209494924,8,9,8.5,0.2222071817445421,0.3541666666666667
421,2.652758109819659,10,10,10.0,0.1431079009781314,0.4166666666666667
422,2.159231238627574,10,10,10.0,0.1164836888605006,0.4166666666666667
423,1.202439445930865,13,13,13.0,0.06486780099681676,0.5416666666666666
424,1.3425445912480667,13,13,13.0,0.07242602999189986,0.5416666666666666
425,5.668947301287539,14,14,14.0,0.3058217581315978,0.5833333333333334
426,4.042279414551485,16,16,16.0,0.21806817592686562,0.6666666666666666
427,3.217362064898052,16,16,16.0,0.1735664967302759,0.6666666666666666
428,2.7860833518402557,17,17,17.0,0.1503003756565958,0.7083333333333334
429,2.4424659778606483,17,17,17.0,0.13176330627668834,0.7083333333333334
430,1.6807478990132272,18,18,18.0,0.09067102764131743,0.75
431,1.2382815694691751,18,18,18.0,0.06680137007994554,0.75
432,1.2397668397382986,19,19,19.0,0.06688149570836702,0.7916666666666666
433,2.351686941981112,19,19,19.0,0.12686606471159814,0.7916666666666666
434,5.059435606581403,5,5,5.0,0.2729405320114565,0.20833333333333334
435,5.893337601719665,6,6,6.0,0.31792690438516136,0.25
437,4.730784762305769,7,8,7.5,0.255210859522707,0.3125
438,4.8011783964781936,8,8,8.0,0.25900837320906533,0.3333333333333333
439,3.968149391397292,8,8,8.0,0.21406909588493217,0.3333333333333333
440,3.2721826993434577,9,9,9.0,0.1765238963879118,0.375
443,3.9724399916420294,11,11,11.0,0.21430056018342503,0.4583333333333333
444,4.790880047831962,12,12,12.0,0.25845280990578196,0.5
445,4.754014524360418,13,13,13.0,0.2564640316364993,0.5416666666666666
447,3.0598351568493296,13,13,13.0,0.16506841879585002,0.5416666666666666
448,1.8636946027667867,14,14,14.0,0.10054042307097454,0.5833333333333334
449,4.72770843205212,15,15,15.0,0.2550449012456649,0.625
450,5.041095141215023,16,16,16.0,0.2719511219737192,0.6666666666666666
451,5.508188325986652,16,16,16.0,0.29714932040214753,0.6666666666666666
452,5.206475831017139,0,0,0.0,0.2808728865674405,0.0
453,4.089098253563161,0,0,0.0,0.22059390405578627,0.0
454,4.914470308406371,4,4,4.0,0.2651201131576968,0.16666666666666666
455,8.933326890403878,6,6,6.0,0.48192470142862265,0.25
456,6.513189925257298,10,11,10.5,0.35136597469071545,0.4375
457,2.868888478991146,11,11,11.0,0.15476745009241638,0.4583333333333333
459,1.4171577022651314,8,8,8.0,0.07645117109450357,0.3333333333333333
460,1.6497400883624478,8,9,8.5,0.08899825443228103,0.3541666666666667
461,1.3812088537826082,9,9,9.0,0.07451184453854234,0.375
462,1.98490930373104,9,9,9.0,0.10707957240331431,0.375
463,1.2261749250820397,11,11,11.0,0.06614825494678724,0.4583333333333333
464,1.7466116087629915,12,12,12.0,0.0942241662475217,0.5
465,0.9671941076698931,13,13,13.0,0.05217705982113269,0.5416666666666666
466,1.3691835469751255,13,13,13.0,0.07386311731027882,0.5416666666666666
467,1.5298666096651565,14,14,14.0,0.0825314597947246,0.5833333333333334
468,2.1177300019633987,14,14,14.0,0.11424482854186772,0.5833333333333334
469,1.2205273115887711,15,15,15.0,0.06584358408005209,0.625
470,1.4540449474844541,15,15,15.0,0.07844112118330444,0.625
471,1.1600841265879667,15,15,15.0,0.06258286562182597,0.625
472,0.9314733337178364,17,17,17.0,0.05025003716397052,0.7083333333333334
473,1.5382100305274946,17,17,17.0,0.08298156093367372,0.7083333333333334
474,1.854903053031882,18,18,18.0,0.10006614679819646,0.75
476,0.8749635587052321,8,8,8.0,0.04720151372081723,0.3333333333333333
477,1.2425919142179762,8,8,8.0,0.06703389953191843,0.3333333333333333
478,1.3791118557984237,9,9,9.0,0.07439871813671883,0.375
479,1.208737100586965,9,9,9.0,0.06520753952615477,0.375
480,2.391335614453791,9,10,9.5,0.12900498505760746,0.3958333333333333
482,2.1582378452929176,10,10,10.0,0.1164300984353344,0.4166666666666667
483,0.6318678793501391,11,11,11.0,0.034087271498511755,0.4583333333333333
484,0.7962594335821059,11,11,11.0,0.04295567535998134,0.4583333333333333
485,1.1222698126235273,12,12,12.0,0.06054290310947054,0.5
486,1.9837216583942872,13,13,13.0,0.10701550269766719,0.5416666666666666
487,2.393563106155296,17,17,17.0,0.1291251511823169,0.7083333333333334
490,1.2698084307433308,20,20,20.0,0.06850214442671773,0.8333333333333334
491,0.8610603192254939,20,20,20.0,0.046451477970713764,0.8333333333333334
493,1.520178168180952,21,21,21.0,0.08200879905177122,0.875
494,1.377514413812784,21,21,21.0,0.07431254119934448,0.875
